flight_sk,journey_sk,airline,departure_airport_id,arrival_airport_id,duration,layover_duration,total_journey_duration,price,hour_of_day,day_of_week,pos,is_best,is_overnight,has_layover,airline_code,dep_airport_code,arr_airport_code,temperature_c,precipitation_mm,weather_code,wind_speed_kmh,visibility_m,snowfall_cm,weather_risk_score,is_delayed
ba2b796e90a730e15e85000dd81ac0de,fa993621d878692db792d42734b231a1,American,DFW,LGA,208.0,0.0,208.0,1359.0,6.0,3.0,0.0,0.0,0.0,0.0,1.0,7.0,13.0,21.7,0.0,3.0,3.6,10000.0,0.0,0.0,0.0
fafec061725cd6e99a8b5a0040bcd96f,3546ffc6c0398e2a395176989e4cda47,Delta,DFW,ATL,134.0,116.0,385.0,259.0,6.0,3.0,0.0,0.0,0.0,1.0,2.0,7.0,0.0,21.7,0.0,3.0,3.6,10000.0,0.0,0.0,0.0
fed2b21a6e8657270a1254757391a2a3,d3d03952e2f67a4457132a0b9afd2ea2,Delta,DFW,LGA,209.0,0.0,209.0,342.0,7.0,3.0,0.0,1.0,0.0,0.0,2.0,7.0,13.0,21.5,0.0,3.0,6.0,10000.0,0.0,0.0,0.0
7c04394f0d46ded8c773d5640c96cc1e,e9ed83dc5d1b8cde21dd58ab518cf08b,American,DFW,PIT,168.0,82.0,355.0,382.0,7.0,3.0,0.0,0.0,0.0,1.0,1.0,7.0,16.0,21.5,0.0,3.0,6.0,10000.0,0.0,0.0,0.0
6defe7e98b1a61e0499f14fa6f74fb65,5a1f5242cdfd539a732874ba9166f205,American,DFW,EWR,211.0,0.0,211.0,412.0,7.0,3.0,0.0,0.0,0.0,0.0,1.0,7.0,8.0,21.5,0.0,3.0,6.0,10000.0,0.0,0.0,0.0
e84c10cda1530fbaaf774e9cff55a187,07e84db2ebd6b2eea1db8936899c9399,United,DFW,IAH,86.0,81.0,389.0,290.0,7.0,3.0,0.0,0.0,0.0,1.0,6.0,7.0,11.0,21.5,0.0,3.0,6.0,10000.0,0.0,0.0,0.0
4428a79635cd8137a0ac217f236a64ca,ae4a5d885f409a35d9dc63eee56b6737,United,DFW,EWR,216.0,0.0,216.0,251.0,7.0,3.0,0.0,1.0,0.0,0.0,6.0,7.0,8.0,21.5,0.0,3.0,6.0,10000.0,0.0,0.0,0.0
208c6f17d9b8429bc4bdaa35a6618247,7b14a5bdee6c84f850142d626fe3b9dc,American,DFW,LGA,213.0,0.0,213.0,342.0,7.0,3.0,0.0,1.0,0.0,0.0,1.0,7.0,13.0,21.5,0.0,3.0,6.0,10000.0,0.0,0.0,0.0
a0003aff859a21f6647c03a62987ccb9,40fd7ec700e22a34afec1a15f8439fd9,United,FLL,EWR,184.0,0.0,184.0,294.0,7.0,3.0,0.0,0.0,0.0,0.0,6.0,9.0,8.0,25.5,0.0,3.0,13.1,10000.0,0.0,0.0,0.0
e9b06f276067625dbe0bcdcba3bbddc5,f6330d1f78f3f9946bf55ae554671531,JetBlue,FLL,JFK,186.0,0.0,186.0,256.0,8.0,3.0,0.0,0.0,0.0,0.0,4.0,9.0,12.0,26.2,0.0,2.0,14.3,10000.0,0.0,0.0,0.0
b4f08c39040f0cf89887c6ab4c7a313e,5faa1c324685535e1b24e3f4a19bc12d,Frontier,DFW,EWR,220.0,0.0,220.0,199.0,8.0,3.0,0.0,1.0,0.0,0.0,3.0,7.0,8.0,21.6,5.1,63.0,6.8,10000.0,0.0,2.0,0.0
4fae2620b6fd83b463b27a40c008c6a3,8b381745013c6532eb97c5782c20e153,Delta,DFW,ATL,135.0,40.0,310.0,277.0,8.0,3.0,0.0,0.0,0.0,1.0,2.0,7.0,0.0,21.6,5.1,63.0,6.8,10000.0,0.0,2.0,0.0
f4f12dcb31c16fbadebc3efc381f940b,7c2482b779946fb9354b7d2909da3e07,Delta,MIA,LGA,183.0,0.0,183.0,274.0,8.0,3.0,0.0,1.0,0.0,0.0,2.0,13.0,13.0,25.8,0.0,3.0,12.5,10000.0,0.0,0.0,0.0
f7c0d69ff734c7630e3e1475fe3134ac,f02d1975a8c52149356d4627b7c8e5d8,Delta,DFW,JFK,224.0,0.0,224.0,424.0,8.0,3.0,0.0,1.0,0.0,0.0,2.0,7.0,12.0,21.6,5.1,63.0,6.8,10000.0,0.0,2.0,0.0
4e1f9704982b73a5cdaf806a81a9748c,329ce5ee86a63e76f15e4f7d2c2783f7,American,MIA,JFK,188.0,0.0,188.0,444.0,8.0,3.0,0.0,0.0,0.0,0.0,1.0,13.0,12.0,25.8,0.0,3.0,12.5,10000.0,0.0,0.0,0.0
7f22db0170d40eefb45715b7ad366000,111a7d0954b00adf7e6d379f1055d33f,American,MIA,LGA,181.0,0.0,181.0,304.0,8.0,3.0,0.0,0.0,0.0,0.0,1.0,13.0,13.0,25.8,0.0,3.0,12.5,10000.0,0.0,0.0,0.0
41d193b5556e1df6e1b2b7fd3f9a8052,1bc2bcb67d63c26deb5393f4c5168b0d,Alaska,DFW,SEA,260.0,162.0,749.0,636.0,9.0,3.0,0.0,0.0,0.0,1.0,0.0,7.0,17.0,21.5,1.0,55.0,7.2,10000.0,0.0,2.0,0.0
6177e7b23382589dfe5c75014be89a9b,a85e8ca93c78d47a2cfc1b4cb1b1a557,JetBlue,FLL,JFK,186.0,0.0,186.0,256.0,9.0,3.0,0.0,1.0,0.0,0.0,4.0,9.0,12.0,28.1,0.0,3.0,4.2,10000.0,0.0,0.0,0.0
f2a45131cbe2f144c3d54915ea95a659,d1c1788d930317def82ee0cc24622060,United,DFW,IAH,77.0,57.0,358.0,290.0,9.0,3.0,0.0,1.0,0.0,1.0,6.0,7.0,11.0,21.5,1.0,55.0,7.2,10000.0,0.0,2.0,0.0
